City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Sokoni,TZ,2022-08-03 23:15:07,-6.4333,39.55,74.8,79,0,14.92
136,Miri,MY,2022-08-03 23:15:07,4.4148,114.0089,75.34,100,40,1.14
137,Marawi,PH,2022-08-03 23:15:08,7.9986,124.2928,70.05,94,100,1.66
138,Puerto El Triunfo,SV,2022-08-03 23:15:08,13.2833,-88.55,87.53,60,100,13.69
139,Chicama,PE,2022-08-03 23:15:09,-7.8447,-79.1469,59.54,78,22,10.18
140,Barcelos,PT,2022-08-03 23:15:09,41.5388,-8.6151,71.92,90,3,0.89
141,Hamilton,US,2022-08-03 23:15:10,39.1834,-84.5333,88.59,59,0,3.44
142,Aleksandrov Gay,RU,2022-08-03 23:15:10,50.147,48.5704,74.01,50,6,7.56
143,Calama,CL,2022-08-03 23:15:11,-22.4667,-68.9333,55.89,19,0,13.8
144,Pingxiang,CN,2022-08-03 23:15:11,27.6167,113.85,80.37,81,5,3.02
145,Mlowo,TZ,2022-08-03 23:15:12,-9.0,32.9833,52.54,87,29,4.74
146,Dunmore Town,BS,2022-08-03 23:15:12,25.5,-76.65,82.99,72,0,12.03
147,Puerto Gaitan,CO,2022-08-03 23:15:13,4.3133,-72.0816,76.86,88,75,6.76
148,Carnarvon,AU,2022-08-03 23:13:07,-24.8667,113.6333,64.67,55,98,16.15
149,Clyde River,CA,2022-08-03 23:15:13,70.4692,-68.5914,39.43,100,100,13.8
150,Ribeira Grande,PT,2022-08-03 23:15:14,38.5167,-28.7,75.87,88,18,5.86
151,Challans,FR,2022-08-03 23:15:14,46.8436,-1.8749,75.4,85,87,9.1
152,Manhattan,US,2022-08-03 23:11:33,40.7834,-73.9662,90.72,56,0,13.8
153,Qaanaaq,GL,2022-08-03 23:12:01,77.484,-69.3632,45.82,61,63,1.88
154,Talnakh,RU,2022-08-03 23:15:15,69.4865,88.3972,54.21,57,12,4.38
155,Mount Gambier,AU,2022-08-03 23:15:15,-37.8333,140.7667,50.09,82,17,11.92
156,Bubaque,GW,2022-08-03 23:15:16,11.2833,-15.8333,80.13,81,100,10.83
157,Wagar,SD,2022-08-03 23:15:16,16.1525,36.2032,79.99,65,99,15.03
158,Osoyoos,CA,2022-08-03 23:15:17,49.0331,-119.4524,93.61,14,87,11.5
159,Mahajanga,MG,2022-08-03 23:15:18,-15.7167,46.3167,68.74,63,0,4.25
160,Imbituba,BR,2022-08-03 23:15:19,-28.24,-48.6703,67.08,90,31,21.99
161,Veranopolis,BR,2022-08-03 23:14:29,-28.9361,-51.5494,60.42,92,19,3.2
162,Natal,BR,2022-08-03 23:15:20,-5.795,-35.2094,79.02,94,75,3.44
163,Touros,BR,2022-08-03 23:15:20,-5.1989,-35.4608,75.92,84,22,6.02
164,Talcahuano,CL,2022-08-03 23:15:20,-36.7167,-73.1167,49.68,76,100,3.44
165,Guerrero Negro,MX,2022-08-03 23:15:21,27.9769,-114.0611,77.81,63,19,19.01
166,Drochtersen,DE,2022-08-03 23:15:21,53.7102,9.3846,71.62,88,12,4.88
167,Torbay,CA,2022-08-03 23:15:22,47.6666,-52.7314,71.58,86,75,19.57
168,Lewistown,US,2022-08-03 23:12:16,40.5992,-77.5714,91.18,71,0,8.05
169,Namatanai,PG,2022-08-03 23:15:23,-3.6667,152.4333,80.91,81,71,10.87
170,Gat,IL,2022-08-03 23:11:01,31.61,34.7642,82.4,80,6,2.28
171,Namibe,AO,2022-08-03 23:15:23,-15.1961,12.1522,60.17,80,2,5.73
172,Haines Junction,CA,2022-08-03 23:15:24,60.7522,-137.5108,64.35,59,100,8.05
173,Prabumulih,ID,2022-08-03 23:15:24,-3.45,104.25,70.84,98,94,2.33
174,Saint George,US,2022-08-03 23:12:44,37.1041,-113.5841,103.62,23,0,7.0
175,Kashi,CN,2022-08-03 23:15:25,39.4547,75.9797,65.41,77,20,4.47
176,Norman Wells,CA,2022-08-03 23:15:25,65.282,-126.8329,64.44,63,75,12.66
177,Vila Franca Do Campo,PT,2022-08-03 23:15:26,37.7167,-25.4333,73.81,89,35,5.88
178,Ouro Preto Do Oeste,BR,2022-08-03 23:15:26,-10.7481,-62.2158,87.84,34,87,3.8
179,Beruwala,LK,2022-08-03 23:16:26,6.4788,79.9828,75.69,86,100,21.99
