City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
574,mahibadhoo,MV,3.7833,72.9667,81.68,80,99,16.51,overcast clouds
575,medina,SA,24.4686,39.6142,97.23,32,75,18.41,thunderstorm
576,marica,BR,-22.9194,-42.8186,74.48,69,100,4.45,overcast clouds
577,purranque,CL,-40.9167,-73.1667,46.27,71,100,1.61,overcast clouds
578,cabedelo,BR,-6.9811,-34.8339,83.07,71,27,15.99,scattered clouds
579,cochrane,CA,51.1834,-114.4687,57.51,63,0,4.27,clear sky
580,christchurch,NZ,-43.5333,172.6333,50.92,97,100,2.3,overcast clouds
581,shimanovsk,RU,52.0,127.7,58.1,74,23,3.36,few clouds
582,inongo,CD,-1.95,18.2667,77.68,60,92,4.52,overcast clouds
583,bull savanna,JM,17.8868,-77.5902,84.33,61,97,12.86,overcast clouds
584,gobabis,NA,-22.45,18.9667,82.6,14,9,9.13,clear sky
585,lac du bonnet,CA,50.2536,-96.0612,59.14,65,86,11.74,overcast clouds
586,kloulklubed,PW,7.0419,134.2556,75.7,77,100,11.61,moderate rain
587,findlay,US,41.0442,-83.6499,80.73,74,40,3.44,scattered clouds
588,san quintin,MX,30.4833,-115.95,71.22,87,96,11.18,overcast clouds
589,mingyue,CN,43.1069,128.9217,69.62,87,95,1.99,overcast clouds
590,lucea,JM,18.451,-78.1736,87.85,72,98,13.47,overcast clouds
591,senneterre,CA,48.3835,-77.2328,73.71,55,100,13.13,overcast clouds
592,cedral,MX,23.8,-100.7333,68.56,48,24,7.63,few clouds
593,buraydah,SA,26.326,43.975,113.45,9,31,8.23,scattered clouds
594,flinders,AU,-34.5833,150.8552,55.18,69,23,8.01,few clouds
595,casino,AU,-28.8667,153.05,55.22,68,0,4.29,clear sky
596,naze,JP,28.3667,129.4833,79.72,82,1,2.89,clear sky
597,ayan,RU,56.45,138.1667,54.48,97,100,19.64,moderate rain
598,zhanaozen,KZ,43.3,52.8,85.62,24,100,5.23,overcast clouds
599,hami,CN,42.8,93.45,91.35,16,8,7.52,clear sky
600,maningrida,AU,-12.0667,134.2667,73.02,85,3,6.98,clear sky
601,lar,IN,26.2039,83.9717,89.28,63,100,7.38,light rain
602,vallenar,CL,-28.5708,-70.7581,58.39,66,100,3.96,overcast clouds
603,cartagena,CO,10.3997,-75.5144,82.02,83,75,12.66,broken clouds
604,serramanna,IT,39.4244,8.9244,96.66,26,1,13.38,clear sky
605,praia da vitoria,PT,38.7333,-27.0667,73.76,94,75,15.57,light intensity shower rain
606,santo antonio do ica,BR,-3.1022,-67.9397,85.82,68,64,0.96,broken clouds
607,trincomalee,LK,8.5711,81.2335,81.39,70,100,20.0,light rain
608,severo-yeniseyskiy,RU,60.3725,93.0408,50.41,80,100,3.49,overcast clouds
609,capitao poco,BR,-1.7464,-47.0594,87.37,54,27,6.49,scattered clouds
610,dustlik,UZ,40.5247,68.0358,85.05,24,1,9.33,clear sky
611,rutul,RU,41.5357,47.4239,65.12,85,65,2.8,light rain
612,da nang,VN,16.0678,108.2208,78.78,89,40,4.61,light rain
613,baykit,RU,61.67,96.37,53.13,85,100,2.77,overcast clouds
614,atasu,KZ,48.6814,71.6433,70.23,37,44,8.39,scattered clouds
615,acapulco,MX,16.8634,-99.8901,79.75,79,100,2.66,overcast clouds
616,pavino,RU,59.1139,46.1414,76.82,62,15,4.32,few clouds
617,karratha,AU,-20.7377,116.8463,67.08,48,0,8.43,clear sky
